ponto_especifico;ponto;mes;ano;ID;CT;CP;raios_peitoral_d;raios_peitoral_e;raios_peitoral_dif;raios_pelv_d;raios_pelv_e;raios_pelv_dif;doop_d;doop_e;doop_dif;dob_d;dob_e;dob_dif;bpeit_ppelv_d;bpeit_ppelv_e;bpeit_ppelv_dif;diam_olho_d;diam_olho_e;diam_olho_dif
POÇÃO (pt 12,5);montante;Agosto;2023;94;3,84;3,16;12;12;0;8;8;0;0,81;0,79;0,02;0,6;0,61;-0,01;0,62;0,63;-0,01;0,33;0,35;-0,02
POÇÃO (pt 12,5);montante;Agosto;2023;95;5,2;3,99;13;13;0;8;8;0;0,99;0,98;0,01;0,7;0,73;-0,03;0,75;0,76;-0,01;0,44;0,43;0,01
CANAL (jus pt 12,5);montante;Novembro;2023;96;11,14;9,1;13;13;0;8;8;0;2,01;2,09;-0,08;1,41;1,44;-0,03;1,83;1,85;-0,02;0,73;0,74;-0,01
CANAL (jus pt 12,5);montante;Novembro;2023;97;5,66;4,44;14;13;1;8;8;0;1,1;1,11;-0,01;0,79;0,79;0;0,85;0,86;-0,01;0,44;0,45;-0,01
CANAL (jus pt 12,5);montante;Novembro;2023;98;4,57;3,67;13;;;8;8;0;0,91;0,91;0;0,67;0,66;0,01;0,69;0,65;0,04;0,35;0,36;-0,01
CANAL (jus pt 12,5);montante;Novembro;2023;99;8,79;6,88;12;12;0;8;8;0;1,64;1,62;0,02;1,15;1,19;-0,04;1,38;1,35;0,03;0,58;0,58;0
CANAL (jus pt 12,5);montante;Novembro;2023;100;9,73;7,67;13;13;0;8;8;0;1,8;1,79;0,01;1,25;1,24;0,01;1,63;1,57;0,06;0,64;0,66;-0,02
CANAL (jus pt 12,5);montante;Agosto;2023;101;6,07;4,86;13;12;1;8;8;0;1,07;1,1;-0,03;0,83;0,81;0,02;0,95;0,94;0,01;0,46;0,47;-0,01
CANAL (jus pt 12,5);montante;Agosto;2023;102;11,42;8,86;14;14;0;8;8;0;2,1;2,13;-0,03;1,48;1,42;0,06;2,1;2,11;-0,01;0,72;0,72;0
CANAL (jus pt 12,5);montante;Agosto;2023;103;4,54;3,57;12;12;0;8;8;0;0,84;0,86;-0,02;0,67;0,65;0,02;0,73;0,7;0,03;0,37;0,36;0,01
13;montante;Março;2023;104;4,06;3,17;13;13;0;8;8;0;0,79;0,81;-0,02;0,58;0,59;-0,01;0,67;0,68;-0,01;0,34;0,35;-0,01
13;montante;Março;2023;105;4,23;3,37;13;13;0;8;8;0;0,84;0,82;0,02;0,63;0,61;0,02;0,72;0,75;-0,03;0,36;0,35;0,01
13;montante;Março;2023;106;3,76;2,93;11;11;0;8;8;0;0,71;0,72;-0,01;0,54;0,55;-0,01;0,62;0,6;0,02;0,32;0,32;0
13;montante;Março;2023;107;4,43;3,45;12;12;0;8;8;0;0,86;0,83;0,03;0,65;0,64;0,01;0,71;0,71;0;0,35;0,36;-0,01
13;montante;Março;2023;108;5,97;4,64;14;14;0;8;8;0;1,14;1,11;0,03;0,84;0,82;0,02;1,01;0,99;0,02;0,44;0,43;0,01
13;montante;Março;2023;109;3,73;2,96;13;13;0;8;8;0;0,74;0,74;0;0,58;0,58;0;0,62;0,61;0,01;0,32;0,31;0,01
13;montante;Março;2023;110;3,34;2,81;11;11;0;8;8;0;0,69;0,7;-0,01;0,5;0,52;-0,02;0,52;0,52;0;0,3;0,29;0,01
13;montante;Março;2023;111;3,24;2,67;8;;;8;8;0;0,68;0,69;-0,01;0,51;0,49;0,02;0,6;0,6;0;0,29;0,3;-0,01
POÇÃO (pt 12,5);montante;Novembro;2023;112;6,28;4,88;14;14;0;8;8;0;1,23;1,21;0,02;0,82;0,82;0;1,01;1,01;0;0,46;0,47;-0,01
POÇÃO (pt 12,5);montante;Novembro;2023;113;6,45;4,93;13;13;0;8;8;0;1,49;1,47;0,02;0,83;0,84;-0,01;1,07;1,07;0;0,5;0,49;0,01
POÇÃO (pt 12,5);montante;Novembro;2023;114;7,85;6,07;13;13;0;8;8;0;1,5;1,49;0,01;0,98;1,01;-0,03;1,26;1,25;0,01;0,52;0,52;0
POÇÃO (pt 12,5);montante;Novembro;2023;115;6.23;4,73;13;13;0;8;8;0;1,17;1,18;-0,01;0,84;0,84;0;0,96;0,98;-0,02;0,48;0,46;0,02
POÇÃO (pt 12,5);montante;Novembro;2023;116;5.34;4,13;13;13;0;8;8;0;1;1,01;-0,01;0,7;0,69;0,01;0,81;0,82;-0,01;0,39;0,4;-0,01
POÇÃO (pt 12,5);montante;Novembro;2023;117;5.72;4,5;13;13;0;8;8;0;1,09;1,1;-0,01;0,78;0,8;-0,02;0,97;0,99;-0,02;0,43;0,43;0
POÇÃO (pt 12,5);montante;Novembro;2023;118;7.60;5,86;12;12;0;8;8;0;1,42;1,44;-0,02;0,98;0,98;0;1,15;1,11;0,04;0,54;0,53;0,01
POÇÃO (pt 12,5);montante;Novembro;2023;119;6.75;5,15;12;12;0;8;8;0;1,3;1,29;0,01;0,91;0,89;0,02;1,1;1,07;0,03;0,49;0,5;-0,01
POÇÃO (pt 12,5);montante;Novembro;2023;120;6.99;5,44;13;13;0;8;8;0;1,35;1,31;0,04;0,9;0,9;0;1,18;1,2;-0,02;0,51;0,51;0
POÇÃO (pt 12,5);montante;Novembro;2023;121;6,12;4,83;13;13;0;8;8;0;1,2;1,2;0;0,84;0,8;0,04;1;1,01;-0,01;0,44;0,44;0
POÇÃO (pt 12,5);montante;Novembro;2023;122;6,19;4,75;13;13;0;8;8;0;1,15;1,14;0,01;0,8;0,82;-0,02;0,98;0,96;0,02;0,44;0,44;0
POÇÃO (pt 12,5);montante;Novembro;2023;123;6,5;4,88;13;13;0;8;8;0;1,28;1,26;0,02;0,83;0,86;-0,03;1,04;1,02;0,02;0,48;0,48;0
POÇÃO (pt 12,5);montante;Novembro;2023;124;6,4;4,94;13;13;0;8;8;0;1,2;1,22;-0,02;1,85;1,83;0,02;1,01;1,04;-0,03;0,47;0,45;0,02
POÇÃO (pt 12,5);montante;Novembro;2023;125;4,07;3,15;10;11;-1;8;8;0;0,81;0,81;0;0,56;0,58;-0,02;0,68;0,66;0,02;0,32;0,36;-0,04
POÇÃO (pt 12,5);montante;Novembro;2023;126;6,69;5,06;13;13;0;8;8;0;1,25;1,23;0,02;0,89;0,88;0,01;1,07;1,09;-0,02;0,48;0,48;0
